20:15;21:41;SK;4758;SAS Scandinavian Airlines ;B738;LNRRE;OSL;ENGM;Oslo-Gardermoen;Norwegen ;gestartet
21:09;;LH;3626;Lufthansa;TRN;;QKL;;Köln Hbf; Deutschland;Zug
21:30;;AI;120;Air India;B788;VTANH;DEL;VIDP;Delhi;Indien;geschlossen
21:55;;SQ;325;Singapore Airlines ;B77W;9VSWK;SIN;WSSS;Singapur;Singapur;Gate offen
04:45;;X3;2138;TUIfly;B738;DAHFZ;FUE;GCFV;Fuerteventura;Spanien;
06:55;;KL;1762;KLM Royal Dutch Airlines ;E190;PHEZS;AMS;EHAM;Amsterdam;Niederlande;
07:55;;I2;3635;Iberia Express;A320;ECJSK;MAD;LEMD;Madrid;Spanien;
09:40;;EK;44;Emirates;B77W;A6ECI;DXB;OMDB;Dubai-International;Ver.Arab.Emirate;
10:30;;AC;845;Air Canada;A333;CGFAF;YYC;CYYC;Calgary;Kanada;
10:55;;EY;002;Etihad Airways;A346;A6EHE;AUH;OMAA;Abu Dhabi;Ver.Arab.Emirate;
11:45;;TK;1588;Turkish Airlines;A343;;IST;LTBA;Istanbul-Atatuerk;Türkei;
